theme,variant,goemotions_id,text,emotion_labels,word_count,selected
anhedonia,disconnection,ee1p1lm,I love me some RFM. My wife said he talks like a robot.,love,13,
anhedonia,disconnection,ef5l4ap,Another thing I always wondered: why doesn't Raddus have autopilot? Would have prevented Holdo's death.,curiosity,15,
anhedonia,disconnection,ef8misu,"thats the future right there, robots trying to help but destroying your whole home in the process. ",disgust,17,
anhedonia,disconnection,efdtsj9,I hope you are not living in Australia. That heat has been killing Masturbators left and right.,"caring, neutral",17,
anhedonia,disconnection,ed0phh5,"It's the same with librarians. Out someplace, see someone with a confused look, and that autopilot kicks in. ","approval, neutral",18,
anhedonia,disconnection,ee5bnyw,"This seems like a good as time as any to ask, what's some hype super robot stuff to check out? I've only ever seen Gurren.",curiosity,25,
anhedonia,disconnection,eezw9fr,Presidents using these robots will loose all legetimacy. They will become dictators. People should invest in good cameras to document the events and share it everywhere.,disapproval,26,
anhedonia,flatness,ef4r44w,"Well, i was hoping it didn't run flat.",optimism,8,
anhedonia,flatness,edzoume,I try and avoid that entire mall. Hahaha,amusement,8,
anhedonia,flatness,efgg034,I'm flattered but I'm a good [RELIGION] scarf,admiration,8,
anhedonia,flatness,eewapfl,> Inflatable M'lady Guys I found my new flair,excitement,9,
anhedonia,flatness,ed233hs,I avoid them like the plague and report them,disapproval,9,
anhedonia,flatness,eexdp15,Sorry. I am avoiding arguments today. Enjoy the video.,remorse,9,
anhedonia,flatness,eeat82c,"Damn, I'd better avoid you then. I don't wanna die.","annoyance, disapproval",10,
anhedonia,flatness,edepu8z,Gotten death threats and people compare me to flat earthers.,neutral,10,
anhedonia,flatness,eem9yku,As if I needed another reason to avoid the Galleria.,neutral,10,
anhedonia,flatness,eez3l42,"I mean, I try to just avoid grizzly bears, don't you?",curiosity,11,
anhedonia,flatness,efemrrg,I'd get the call of the void way too hard here.,neutral,11,
anhedonia,flatness,ee9jdxh,Insomuch that I'll probably avoid any Stahly products in future :|,optimism,11,
anhedonia,flatness,eeqiawh,Guys who work on aircraft usually have hard time hearing. Its unavoidable.,sadness,12,
anhedonia,flatness,eemyruu,*Some restrictions may apply. Not valid in the United States. Void where prohibited.,neutral,13,
anhedonia,flatness,edqgd3z,You should have a friend come with you instead to avoid more hurt feelings,neutral,14,
anhedonia,flatness,ef38plm,"I'm 27. I've been thinking about joining the club, just to avoid this inevitability ",neutral,14,
anhedonia,flatness,eegvjdr,Haha I’ll try and avoid it. Nowhere currently on my list is in Alabama,amusement,14,
anhedonia,flatness,ef24xex,"Yeah I haven't felt anything in days. It's like I'm numb, I hate that feeling.","disgust, realization",15,
anhedonia,flatness,edgt1wx,"Yeah, I’m going to do my best to avoid a fight. She’d probably kill me. ","approval, optimism",15,
anhedonia,flatness,eehyg5b,"Nothing makes me exit a video faster ""looking at this made my nipples hard"" 🙄","admiration, neutral",15,
anhedonia,flatness,edbpuui,My school usually says that you should avoid fighting and try leaving the premisis asap,neutral,15,
anhedonia,flatness,ed1ty0c,"I had a 2 litre bottle. It went flat before I opened it, nearly wept.",neutral,15,
