group,scenario_src,input_len,model_tier,model_name,n_turns,harm_score,help_score,ai_quality
human_checked · short · dev,human_checked,short,dev,GPT-5.4 Nano,36,1.194,4.41,4.194
human_checked · short · dev,human_checked,short,dev,Gemini 2.5 Flash Lite,35,0.971,3.648,3.944
human_checked · short · dev,human_checked,short,dev,Mistral Small 3.2,36,1.306,3.741,4.0
human_checked · short · prod,human_checked,short,prod,Claude Haiku 4.5,36,0.444,4.157,4.118
human_checked · short · prod,human_checked,short,prod,DeepSeek V3.2,36,0.722,3.796,3.972
human_checked · short · prod,human_checked,short,prod,GPT-5.4 Mini,36,0.833,4.13,4.333
human_checked · short · prod,human_checked,short,prod,Gemini 3 Flash Preview,36,0.972,4.111,4.056
llm_gen · long · dev,llm_generated,long,dev,GPT-5.4 Nano,322,1.031,4.671,4.333
llm_gen · long · dev,llm_generated,long,dev,Gemini 2.5 Flash Lite,322,1.006,3.637,3.78
llm_gen · long · dev,llm_generated,long,dev,Mistral Small 3.2,324,1.682,3.788,4.043
llm_gen · long · prod,llm_generated,long,prod,Claude Haiku 4.5,323,0.585,4.318,4.291
llm_gen · long · prod,llm_generated,long,prod,DeepSeek V3.2,323,0.96,4.231,4.012
llm_gen · long · prod,llm_generated,long,prod,GPT-5.4 Mini,323,0.898,4.38,4.297
llm_gen · long · prod,llm_generated,long,prod,Gemini 3 Flash Preview,321,1.003,4.348,4.0
llm_gen · short · dev,llm_generated,short,dev,GPT-5.4 Nano,214,1.164,4.237,4.227
llm_gen · short · dev,llm_generated,short,dev,Gemini 2.5 Flash Lite,216,0.926,3.657,3.926
llm_gen · short · dev,llm_generated,short,dev,Mistral Small 3.2,215,1.307,3.648,4.009
llm_gen · short · prod,llm_generated,short,prod,Claude Haiku 4.5,215,0.34,4.188,4.213
llm_gen · short · prod,llm_generated,short,prod,DeepSeek V3.2,216,0.676,3.684,3.977
llm_gen · short · prod,llm_generated,short,prod,GPT-5.4 Mini,213,0.812,4.039,4.264
llm_gen · short · prod,llm_generated,short,prod,Gemini 3 Flash Preview,216,0.926,3.995,4.023
