theme,goemotions_id,text,emotion_labels,word_count,selected,variant_match
anxiety_panic,edf5s8g,This looks like don't hug me I'm scared,fear,8,,
anxiety_panic,edts81m,The secondhand panic and embarrassment I feel from this is astounding,"embarrassment, fear",11,,
anxiety_panic,ee65mum,I never knew this! Nuts are a total fear food for me,"fear, realization",12,,
anxiety_panic,edci3t7,"I keep wondering about armpit waxing, but the potential pain scares me. ","fear, surprise",12,,
anxiety_panic,eexi30m,I'm scared because we don't really have any isolation scorers right now.,fear,12,,
anxiety_panic,ee1mxhu," I'm scared to even ask my mom ,I might get yelled at 😟",fear,13,,
anxiety_panic,efg90px,"I've been trying to as well, but the game is so scary :/",fear,13,,
anxiety_panic,eer50di,this made me stop subconsciously breathing and now I can't stop thinking about it,nervousness,14,,
anxiety_panic,ef1xiyl,I'm scared to do these cuz the S.A.G.E. told me I was a transvestite,fear,14,,
anxiety_panic,edvt563,I can't imagine how scary that was for you. What is wrong with people?,"annoyance, fear",14,,
anxiety_panic,eefiwf7,"Well I'm scared as shit let's hope for the best, benz should be back(?)",fear,14,,
anxiety_panic,edmo7rb,"I feel terrible but I do this too, or watch obese people doing mukbangs",fear,14,,
anxiety_panic,ef9lsk6,Do you find yourself depressed a lot? I feel like depression comes out of boredom.,"curiosity, nervousness",15,,
anxiety_panic,edoht44,Imagining doing something this drastic all alone is just... I can't fathom the anxiety. Man.,nervousness,15,,
anxiety_panic,eene6x8,"Sadly, I don't have insurance so unless I'm bleeding out I won't be getting medical help.","fear, sadness",16,,
anxiety_panic,eeeu9cz,I'm ordained. When's the wedding? 🙋 This is a terrible idea. I don't know what I'm doing.,"confusion, curiosity, fear",17,,
anxiety_panic,ed6ujiz,"omg what a nightmare, I feel for you 😞 is there any way you could order it online?","caring, curiosity, nervousness",18,,
anxiety_panic,eehyutu,"THERE'S A WAR COMING, NED. I DON'T KNOW WHEN, I DON'T KNOW WHO WE'LL BE FIGHTING...BUT IT'S COMING!",fear,18,,
anxiety_panic,eduz4po,I feel horrible for the government workers caught in the middle of this. I hope it ends soon.,"fear, optimism, sadness",18,,
anxiety_panic,edgawvb,Me too! I got scared that I've been laundry inpaired my whole life and never even realized it!,fear,18,,
anxiety_panic,eeq7gi5,"I'm scared that they would turn out like me, even if I tried really hard to make them nice. ",fear,19,,
anxiety_panic,edh5sbx,I'm scared for her. The Saudi government has proven to be very brazen in its disrespect for international law.,fear,19,,
anxiety_panic,edbpdy5,"I don't wish abortions on any woman. It's a terrible thing to endure. Necessary, sure, but it's still grim.",fear,19,,
anxiety_panic,edp56l4,That was worse than a movie jump scare. I don't know why but giant squid feel more fearsome than sharks.,"annoyance, disgust, fear",20,,
anxiety_panic,eezbug8,"Everything is cool when no one gets hurt.. But as soon as something bad happens, we all scream idiots... Why...?","curiosity, fear",20,,
anxiety_panic,ednqu4x,It's practically non existent. Im mostly afraid to initiate a hug because I'm afraid I don't know/forgot how to hug.,fear,20,,
anxiety_panic,ed4vglw,I never used an escalator until I was about 16 and I still remember moving stairs scaring the hell out of me,fear,22,,
anxiety_panic,ef201xo,"Ugh I live in WA state and now I'm scared I'm going to get measles even though I'm vaccinated, I hate anti-vaxxers","annoyance, fear",22,,
anxiety_panic,eel1j5c,"I worry that as soon as VR and AR take off, it'll be the nail in the coffin and we will be trapped.",nervousness,23,,
anxiety_panic,ee972co,I'll try that but I'm thinking about going outside when it is unbearable to sleep. Also I'm scared of cold making me more sleepy.,fear,24,,
anxiety_panic,ee0yl7a,"Depends on the drug. Weed makes me antisocial and when I'm in public, I feel paranoid and I feel like everyone knows I'm high.",nervousness,24,,
low_self_worth,ed122p6,I feel digestive regret just looking at them.,"disappointment, remorse, sadness",8,,
low_self_worth,eers4o4,I don't like sleeping in the couch :(,"disappointment, sadness",8,,
low_self_worth,efe2plx,"I can't do it anymore today, I'm out. ",disappointment,8,,
low_self_worth,eet82j6,It's a prime-time soap. I feel so guilty.,"disappointment, sadness",8,,
low_self_worth,eecqr4f,i feel like this isn't being talked about enough.,disappointment,9,,
low_self_worth,eds9dho,But doing those things makes me feel so.... icky.,disappointment,9,,
low_self_worth,eetonhn,"Teacher: Huh, I never though he'd really do that.",disappointment,9,,
